Date,ConsumerPriceIndex,Production: Southern: Palm Oil: Crude,Motor Vehicle Production: Passenger Car: 2001 to 2500 cc,Motor Vehicle Production: Passenger Car: Total,Motor Vehicle Production: Passenger Car: Less than 1500 cc,Motor Vehicle Production: Passenger Car: 1501 to 1800 cc,Motor Vehicle Production: Passenger Car: 1801 to 2000 cc,Motor Vehicle Production: Passenger Car: 2000 cc and Above,"Motor Vehicle Production: Total, excludes Motorcycle",Motor Vehicle Production: Truck: 10 Tons and Above,Motor Vehicle Production: Truck: 5 to 10 Tons,Motor Vehicle Production: Truck: Less Than 5 Tons,Motor Vehicle Production: Truck: Pick Up: Above 1 Ton,Motor Vehicle Production: Truck: Total,Govt Revenue: Gross: Customs Dept: Others,Govt Revenue: Gross: Excise Dept: Others Tax (OT),Govt Revenue: Gross: Excise Dept: OT: Perfume,Govt Revenue: Gross: Excise Dept: Miscellaneous,Govt Revenue: Gross: Customs Dept: Import Duties,Govt Revenue: Gross: Customs Dept: Export Duties,Govt Revenue: Gross: Total,Govt Revenue: Gross: Revenue Dept,Govt Revenue: Gross: Excise Dept,Govt Revenue: Gross: Customs Dept,Govt Revenue: Gross: Other Sections (OS),Govt Revenue: Gross: OS: Other Government Sections,Govt Revenue: Gross: OS: State Enterprises,Govt Revenue: Gross: Revenue Dept: Personal Income Tax,Govt Revenue: Gross: Revenue Dept: Corporate Income Tax,Govt Revenue: Gross: Revenue Dept: Value Added Tax,Govt Revenue: Gross: Revenue Dept: Specific Sale Tax,Govt Revenue: Gross: Revenue Dept: Stamp Duties,Govt Revenue: Gross: Revenue Dept: Others,Govt Revenue: Gross: Excise Dept: Tobacco Tax,Govt Revenue: Gross: Excise Dept: Petroleum & Pet Production Tax,Govt Revenue: Gross: Excise Dept: Beer Tax,Govt Revenue: Gross: Excise Dept: Alcoholic Tax,Govt Revenue: Gross: Excise Dept: Non Alcoholic Tax,Govt Revenue: Gross: Excise Dept: Automobile Tax,Govt Revenue: Net,Govt Revenue: Net Revenue after VAT Allocation for Local Admin Org,No of New Applicants: Male,No of New Applicants: Female,No of New Applicants: Bangkok,No of New Applicants: Other Regions,No of Job Vacancies: Female,No of Job Vacancies: Non-Specific,No of Job Vacancies: Bangkok,No of Job Vacancies: Other Regions,No of Job Vacancies: Male,No of Job Placement: Bangkok,No of Job Placement: Other Regions,No of Aliens Work Permit: Life Long Permit,No of Aliens Work Permit: Investment Promotion,No of Aliens Work Permit: Temporary,No of Aliens Work Permit: Illegal Immigrant,No of Aliens Work Permit: Bangkok: Investment Promotion,No of Aliens Work Permit: Bangkok: Temporary,No of Aliens Work Permit: Bangkok: Illegal Immigrant,No of Aliens Work Permit: Other Regions: Life Long Permit,No of Aliens Work Permit: Other Regions: Investment Promotion,No of Aliens Work Permit: Other Regions: Temporary,No of Aliens Work Permit: Other Regions: Illegal Immigrant,BOT: No of Registered Applicants,BOT: No of Job Vacancies,BOT: No of Job Placements,BOT: No of Overseas Thai Worker: Others,BOT: No of Overseas Thai Worker: Israel,BOT: No of Overseas Thai Worker: Japan,BOT: No of Overseas Thai Worker: Malaysia,BOT: No of Overseas Thai Worker: Singapore,BOT: No of Overseas Thai Worker: Taiwan,BOT: Inward Remittances,Motor Vehicle Sales: TMT: Passenger Car,Motor Vehicle Sales: TMT: Commercial Vehicle (CV),Motor Vehicle Sales: TMT: CV: One Ton Pickup,"CPI: FB: CH: Rice, Flour & Cereal (RF)",CPI: FB: CH: Meats Poultry & Fish (MF),CPI: FB: CH: Eggs and Dairy Products,CPI: FB: CH: Vegetables and Fruits,CPI: FB: CH: Seasoning and Condiments (SC),CPI: FB: CH: Non Alcoholic Beverages,CPI: FB: Prepared Food,CPI: Apparel & Footwears (CF),CPI: Housing & Furnishing (HF),CPI: HF: Shelter,CPI: HF: Shelter: House Rent,"CPI: HF: Electricity, Fuel, Water Supply",CPI: HF: Textile of House Furnishing,CPI: HF: Cleaning Supplies,CPI: Medical & Personal Care (HP),CPI: HP: Medical Care,CPI: HP: Personal Care Expenses,CPI: Transport & Communication (TC),CPI: TC: Public Transportation Services,CPI: TC: Vehicles & Vehicle Operation,CPI: TC: Communication and Equipments,"CPI: Recreation, Reading, Education and Religion (RR)",CPI: Tobacco & Alcoholic Beverages (TA),CPI: Non Food & Beverages (NFB),CPI: NFB: Exclude Food and Energy,CPI: NFB: Food Exclude Raw Food
10/2017,98.61,243361.29,1103.00,69769.00,53858.00,9353.00,2469.00,1103.00,163487.00,2156.00,152.00,485.00,25156.00,93103.00,397.84,116.46,47.29,30.68,8241.48,12.92,218367.99,116657.08,40060.54,8652.24,52998.13,18020.87,34545.82,21875.06,25343.74,63712.50,4578.79,1110.40,32.11,2217.97,18466.79,5575.52,3695.92,1591.43,7833.29,196216.20,196216.20,3377.00,4294.00,863.00,6808.00,2041.00,25952.00,3569.00,27768.00,3344.00,2815.00,13480.00,241.00,45399.00,103616.00,59439.00,32442.00,53936.00,4928.00,240.00,12957.00,49680.00,54511.00,7671.00,31337.00,16295.00,3991.00,401.00,959.00,709.00,324.00,2915.00,10523.00,28739.00,39812.00,32572.00,91,97,98,103,98,98,98,100,99,99,99,99,101,100,99,99,99,99,95,99,100,99,100,99,99,98
11/2017,98.76,253231.29,1251.00,78928.00,59375.00,10571.00,4162.00,1285.00,190385.00,2367.00,160.00,652.00,27339.00,110787.00,208.59,119.33,53.15,109.24,9115.43,12.64,174073.75,123910.60,29961.67,9336.66,10864.82,6253.63,4355.05,19911.58,34842.85,62561.62,4905.94,1256.27,31.73,5767.81,5790.57,997.57,4777.93,1980.17,9855.95,147643.99,147643.99,4432.00,5273.00,953.00,8752.00,1753.00,22321.00,5784.00,21588.00,3298.00,4354.00,16725.00,241.00,45631.00,105500.00,59509.00,32571.00,54709.00,5058.00,240.00,13060.00,50791.00,54451.00,9705.00,27372.00,21079.00,2884.00,685.00,720.00,671.00,325.00,2873.00,10538.00,31435.00,46647.00,38125.00,92,97,98,100,98,98,98,100,99,99,99,99,101,100,99,99,100,100,96,100,100,99,100,100,99,98
12/2017,98.83,233256.75,749.00,64307.00,50686.00,8255.00,2262.00,754.00,157207.00,1885.00,195.00,538.00,28314.00,92446.00,473.94,130.13,45.18,234.00,10066.39,3.76,233143.34,130114.31,47660.48,10544.09,44824.47,37485.14,4493.06,20364.87,37037.64,65232.51,6130.19,1309.76,31.54,6500.83,17698.25,6519.35,4411.48,1940.58,9641.51,203720.02,203720.02,4337.00,5143.00,1058.00,8422.00,1972.00,20218.00,5930.00,19459.00,3199.00,4137.00,15229.00,241.00,45167.00,106523.00,59630.00,32091.00,55007.00,5073.00,240.00,13076.00,51516.00,54557.00,9480.00,25389.00,19366.00,2907.00,391.00,654.00,602.00,355.00,2572.00,11412.00,41449.00,62853.00,50459.00,92,96,97,99,98,98,98,100,99,99,99,99,101,100,99,99,99,100,96,100,100,99,100,100,99,98
01/2018,98.75,222167.46,1127.00,67734.00,49573.00,11591.00,2709.00,1127.00,166196.00,1526.00,268.00,572.00,25391.00,97953.00,106.29,144.77,40.54,1861.70,9041.91,12.89,227530.94,137788.17,53257.84,9161.09,27323.84,19802.99,7251.85,36015.56,26448.05,69389.12,4573.35,1325.44,30.56,6133.54,19215.28,8042.69,6718.75,1819.68,8810.89,202871.03,193251.77,6544.00,8274.00,1843.00,12975.00,2989.00,33400.00,6922.00,36927.00,7460.00,5671.00,18603.00,241.00,44813.00,107752.00,60801.00,32018.00,55048.00,5484.00,240.00,12795.00,52704.00,55317.00,14818.00,43849.00,24274.00,3846.00,561.00,877.00,656.00,524.00,2900.00,12205.00,25749.00,40796.00,32796.00,92,96,97,99,98,99,98,100,99,99,99,99,101,100,99,99,99,100,96,101,100,99,100,100,99,98
02/2018,98.82,210838.82,937.00,71907.00,53959.00,10373.00,3483.00,937.00,178237.00,1753.00,151.00,697.00,28827.00,105798.00,194.94,162.99,51.11,73.97,8183.65,4.47,209487.90,127214.19,49375.26,8383.06,24515.39,9397.29,13913.81,25526.77,24902.40,63457.35,4237.40,1289.48,30.98,6905.63,19704.76,6398.24,3937.86,1713.62,9871.33,178245.83,169598.01,4836.00,6443.00,1873.00,9406.00,2561.00,24278.00,7793.00,23400.00,4354.00,6385.00,18315.00,241.00,44813.00,108719.00,60606.00,31917.00,55498.00,5531.00,240.00,12896.00,53221.00,55075.00,11279.00,31193.00,24700.00,3142.00,758.00,525.00,564.00,447.00,2919.00,13376.00,29617.00,45849.00,37198.00,92,96,97,95,97,99,99,100,99,99,99,99,100,100,100,99,100,100,96,100,100,99,100,100,99,98
03/2018,98.60,258318.23,1108.00,80351.00,58028.00,14498.00,3383.00,1108.00,195257.00,1806.00,229.00,737.00,31994.00,114336.00,118.14,161.03,57.55,70.28,8651.95,7.39,207949.32,134202.01,48652.32,8777.48,16317.51,12299.90,3587.60,35988.93,28794.63,62831.76,5234.66,1298.74,39.04,7171.28,16831.54,5641.16,5532.17,1801.45,10809.51,177944.41,169693.13,5860.00,8008.00,2805.00,11063.00,1900.00,24464.00,7031.00,22595.00,3262.00,6438.00,18906.00,241.00,45062.00,109019.00,61068.00,32091.00,56050.00,5516.00,240.00,12971.00,52969.00,55552.00,13868.00,29626.00,25344.00,3530.00,749.00,326.00,563.00,444.00,2485.00,12053.00,34765.00,60317.00,48258.00,93,95,97,93,97,99,99,100,99,100,100,99,100,100,100,99,100,100,96,100,100,99,100,100,100,98
04/2018,98.51,228574.42,760.00,55596.00,40584.00,9116.00,3101.00,788.00,134779.00,1139.00,311.00,542.00,22871.00,78840.00,166.80,130.95,46.23,45.72,8301.47,7.05,260003.26,129546.76,53166.53,8475.32,68814.65,22851.26,45091.60,32353.70,25054.22,66284.51,4590.88,1213.49,37.94,6786.17,20373.21,8998.49,5412.38,1861.45,9040.18,232508.34,221889.44,6388.00,9060.00,1974.00,13474.00,1953.00,25011.00,6568.00,23528.00,3132.00,5406.00,20566.00,241.00,44981.00,106854.00,61562.00,32077.00,55714.00,5638.00,240.00,12904.00,51140.00,55924.00,15448.00,30096.00,25972.00,4696.00,631.00,707.00,679.00,646.00,3786.00,11342.00,29888.00,49318.00,38478.00,94,97,98,96,97,99,99,100,99,100,100,99,101,100,100,99,100,100,96,101,100,99,100,100,100,98
05/2018,98.95,193817.26,875.00,79556.00,56749.00,15169.00,3836.00,876.00,193130.00,1938.00,330.00,800.00,32354.00,112927.00,146.52,114.21,42.29,48.56,9385.39,12.14,315474.80,233048.15,49580.00,9544.06,23302.60,10276.90,12692.37,28544.22,89382.08,65694.33,4742.75,1265.22,39.58,5468.85,19687.19,5859.75,5070.79,2012.93,10822.50,286964.46,278170.46,6158.00,8394.00,1908.00,12644.00,2873.00,26799.00,6485.00,26943.00,3756.00,6336.00,22329.00,241.00,45122.00,105304.00,61929.00,32079.00,55053.00,5560.00,240.00,13043.00,50251.00,56369.00,14552.00,33428.00,28665.00,3547.00,807.00,766.00,577.00,547.00,3126.00,12120.00,33160.00,51805.00,40502.00,94,97,99,97,98,99,99,100,100,100,100,99,101,100,100,99,100,102,96,103,100,99,100,100,100,99
06/2018,99.50,151749.69,1371.00,76836.00,58226.00,11834.00,2119.00,1371.00,188970.00,1975.00,260.00,810.00,30159.00,111484.00,106.36,126.87,49.94,56.30,8543.96,36.01,291804.94,223860.93,47722.17,8686.33,11535.51,5932.06,4672.43,29578.25,118450.42,68617.02,5882.68,1283.51,46.05,5517.91,19624.49,5289.82,4041.84,1866.07,10619.02,263346.78,254011.53,4676.00,6471.00,1874.00,9273.00,1954.00,22176.00,6660.00,20836.00,3366.00,4999.00,16973.00,241.00,45410.00,106985.00,63617.00,32222.00,55084.00,5536.00,240.00,13188.00,51901.00,58081.00,11147.00,27496.00,21972.00,6156.00,841.00,735.00,734.00,337.00,2848.00,11493.00,37131.00,50723.00,40197.00,94,97,99,95,100,99,99,100,100,100,100,99,100,100,100,99,100,102,96,103,100,100,100,100,100,99
07/2018,99.42,137307.96,494.00,73919.00,52023.00,15969.00,3179.00,520.00,183119.00,1832.00,278.00,732.00,28356.00,108620.00,78.62,124.34,51.71,641.31,8465.56,25.86,232461.72,137229.03,49035.81,8570.03,37626.84,21672.68,15714.98,23946.81,27540.81,70904.35,5202.04,1205.46,39.19,5366.22,19324.60,6055.24,3655.95,1832.04,11456.05,204733.93,194332.26,3680.00,4660.00,1490.00,6850.00,1590.00,19149.00,6520.00,16882.00,2663.00,4996.00,13809.00,241.00,45398.00,108204.00,64505.00,32192.00,55283.00,5441.00,240.00,13206.00,52921.00,59064.00,8340.00,23402.00,18805.00,9392.00,785.00,742.00,1234.00,298.00,2668.00,12140.00,32531.00,49415.00,38565.00,95,96,99,93,101,99,99,100,100,100,100,99,100,100,100,99,100,102,96,103,100,100,100,101,100,99
08/2018,99.37,159832.62,984.00,75779.00,52752.00,15708.00,4147.00,984.00,181237.00,1793.00,344.00,770.00,26563.00,104771.00,106.44,131.56,54.55,9.19,9540.85,5.25,282489.70,195981.44,48729.60,9652.54,28126.12,20657.71,4139.78,22338.04,94065.17,69276.56,5113.97,1353.77,40.77,5206.57,19696.96,6168.16,4424.52,1737.46,10806.28,259336.80,249771.03,4261.00,5025.00,1234.00,8052.00,1962.00,20870.00,5936.00,20091.00,3195.00,4716.00,15994.00,241.00,45357.00,108614.00,64130.00,32183.00,55100.00,5265.00,240.00,13174.00,53514.00,58865.00,9286.00,26027.00,20710.00,3993.00,666.00,1139.00,528.00,253.00,2638.00,12328.00,34164.00,52650.00,41314.00,95,97,100,95,101,99,99,100,100,100,100,99,100,100,100,99,100,102,96,104,100,100,100,101,100,99
09/2018,99.63,171085.95,600.00,74797.00,54579.00,14849.00,2647.00,660.00,183191.00,1569.00,331.00,704.00,27702.00,107572.00,131.55,115.13,47.21,28.14,8803.85,3.91,321344.49,225903.13,63239.86,8939.31,23262.19,16352.98,6582.35,22578.22,131663.73,65036.91,5182.22,1287.48,38.16,5505.39,28469.48,10810.95,4285.14,1837.40,11521.30,300071.20,258647.16,4212.00,5539.00,955.00,8796.00,2223.00,23295.00,6702.00,22331.00,3515.00,5406.00,15356.00,241.00,45365.00,110864.00,65125.00,32208.00,55916.00,5491.00,240.00,13157.00,54948.00,59634.00,9751.00,29033.00,20762.00,3379.00,289.00,923.00,952.00,207.00,2548.00,11276.00,34086.00,54620.00,43205.00,95,98,100,94,100,99,100,100,100,100,100,99,100,100,100,100,100,103,96,105,100,100,100,101,100,100
10/2018,99.92,201021.42,1589.00,76157.00,55914.00,12292.00,4161.00,1589.00,197203.00,1932.00,226.00,544.00,35063.00,120241.00,126.18,125.96,52.58,67.13,9541.23,18.32,240152.65,123566.85,26885.91,9685.74,80014.16,23773.48,55997.53,22780.70,24916.12,69507.46,4909.57,1329.44,38.70,6293.34,3717.24,666.83,3742.33,1742.40,9996.21,196394.36,196394.36,3345.00,4346.00,1210.00,6481.00,1667.00,15699.00,4098.00,16331.00,3063.00,3616.00,13612.00,241.00,45882.00,112834.00,66483.00,32644.00,56446.00,5734.00,240.00,13238.00,56388.00,60749.00,7691.00,20429.00,17228.00,3751.00,780.00,886.00,575.00,245.00,2416.00,13190.00,32805.00,54126.00,43827.00,96,97,99,95,100,99,100,100,100,100,100,99,100,100,100,100,100,103,96,105,100,100,100,101,100,100
11/2018,99.98,205394.29,2182.00,77899.00,57290.00,11219.00,4861.00,2182.00,197020.00,1868.00,156.00,575.00,35461.00,118144.00,116.94,128.75,58.71,97.75,9997.54,9.18,223501.77,151037.37,51593.30,10123.65,10747.44,5726.40,4427.74,21547.17,37548.10,69280.22,5132.02,1368.33,36.01,5867.04,17825.13,6224.39,5451.92,1913.40,13456.45,198535.93,198535.93,3892.00,4834.00,1320.00,7406.00,1811.00,19035.00,4704.00,20136.00,3994.00,3972.00,14434.00,241.00,46193.00,113982.00,68231.00,32973.00,56545.00,6095.00,240.00,13220.00,57437.00,62136.00,8726.00,24840.00,18406.00,2994.00,695.00,803.00,551.00,281.00,2680.00,11796.00,35446.00,59197.00,48612.00,96,98,99,97,101,99,100,100,100,100,100,99,100,100,100,100,100,101,96,103,100,100,100,100,100,100
12/2018,99.76,217610.88,1573.00,66484.00,51385.00,6758.00,4546.00,1573.00,169355.00,1749.00,255.00,571.00,31383.00,101870.00,203.01,142.43,50.67,164.56,8609.49,27.90,224656.15,137842.77,52862.13,8840.40,25110.86,15337.36,5088.27,21571.38,41968.91,66057.18,6704.85,1419.29,32.65,4890.89,18793.01,8015.12,5737.35,1932.50,12544.55,201712.98,201712.98,4162.00,4926.00,1268.00,7820.00,2337.00,18962.00,4831.00,20083.00,3615.00,4257.00,15668.00,241.00,46215.00,114844.00,68613.00,33257.00,56976.00,6132.00,240.00,12958.00,57868.00,62481.00,9088.00,24914.00,19925.00,3507.00,698.00,751.00,569.00,324.00,2532.00,11132.00,40315.00,73266.00,58717.00,96,98,99,94,100,100,100,100,100,100,100,99,100,100,100,100,100,99,96,99,100,100,100,100,100,100
01/2019,99.10,201287.63,2186.00,72756.00,52529.00,11864.00,3230.00,2186.00,179595.00,1508.00,290.00,327.00,27327.00,105795.00,459.18,153.49,44.07,104.35,9116.59,8.04,253397.66,143469.63,54059.79,9583.80,46284.44,39910.32,5887.82,39155.60,26378.76,71613.44,4850.76,1416.49,33.64,6570.50,18774.77,8774.70,6982.10,2112.66,10049.06,224927.54,217576.11,4830.00,6536.00,2085.00,9281.00,2085.00,22767.00,5888.00,22225.00,3261.00,5635.00,17064.00,241.00,46278.00,116628.00,66978.00,33429.00,57115.00,5966.00,240.00,12849.00,59513.00,61012.00,11366.00,28113.00,22699.00,4114.00,762.00,988.00,583.00,389.00,2541.00,17360.00,30221.00,47840.00,39674.00,96,99,99,95,100,99,100,100,100,100,100,100,100,100,100,100,100,98,96,98,100,100,100,99,100,100
02/2019,99.08,211633.57,2894.00,73269.00,52462.00,11323.00,3142.00,2921.00,183071.00,1712.00,319.00,536.00,26980.00,108949.00,92.32,170.48,48.21,52.66,7794.85,7.16,216141.15,132714.13,51136.64,7894.33,24396.06,8547.91,15212.90,26798.22,28878.60,63411.06,4718.46,1258.58,31.30,5497.81,19284.64,6362.74,5623.54,1880.34,11651.39,187726.61,177711.68,6073.00,8588.00,3041.00,11620.00,2075.00,29757.00,8995.00,26530.00,3693.00,6710.00,18623.00,241.00,45410.00,118234.00,65480.00,32268.00,57591.00,6340.00,240.00,13142.00,60643.00,59140.00,14661.00,35525.00,25333.00,3682.00,917.00,688.00,681.00,490.00,2972.00,15582.00,32338.00,49986.00,40951.00,97,100,99,94,100,99,100,100,100,100,100,100,100,100,100,100,100,99,96,99,100,100,100,100,100,100
03/2019,99.32,276666.72,2321.00,76845.00,55000.00,12636.00,3808.00,2324.00,198821.00,1855.00,382.00,590.00,32372.00,121113.00,114.22,155.78,49.95,52.67,9007.83,21.67,216301.46,134938.88,53100.97,9143.72,19117.90,12066.03,6740.00,36693.56,26476.09,64722.15,5563.83,1421.76,41.55,5433.99,18649.41,6709.72,6449.82,1923.97,13113.61,178595.62,168876.74,7089.00,9469.00,2868.00,13690.00,2306.00,36866.00,9330.00,34238.00,4396.00,8510.00,23184.00,241.00,44824.00,117404.00,63588.00,31674.00,57521.00,6287.00,240.00,13150.00,59883.00,57301.00,16558.00,43568.00,31694.00,3410.00,771.00,686.00,494.00,328.00,2505.00,16908.00,40061.00,63103.00,52080.00,97,100,98,96,100,99,100,100,100,100,100,100,100,100,100,100,100,101,96,101,100,100,100,100,100,100
04/2019,99.73,276247.76,3004.00,60704.00,43241.00,8717.00,3101.00,3004.00,150242.00,1208.00,320.00,438.00,26437.00,89062.00,95.24,126.15,38.04,34.92,9036.85,23.10,250256.75,133116.09,53612.22,9155.19,54373.26,19445.13,33966.42,34597.98,25020.80,67918.81,4304.22,1234.95,37.96,5466.47,19931.92,9277.04,4743.94,2278.95,11233.03,195532.05,185437.65,8162.00,10980.00,2266.00,16876.00,1671.00,31613.00,6252.00,30340.00,3308.00,6744.00,27813.00,241.00,46163.00,115479.00,62015.00,33103.00,56831.00,6158.00,240.00,13060.00,58648.00,55857.00,19142.00,36592.00,34557.00,4685.00,716.00,647.00,646.00,513.00,3801.00,16751.00,34931.00,51145.00,41233.00,97,100,98,100,100,99,100,100,100,100,100,100,100,101,100,100,100,101,98,102,100,100,100,101,100,100
05/2019,100.17,318591.11,2600.00,70850.00,48860.00,10514.00,5130.00,2600.00,181338.00,1570.00,462.00,663.00,30757.00,109950.00,101.83,126.36,53.82,41.61,9001.45,19.59,342264.65,263039.67,51497.36,9122.86,18604.75,6746.85,11434.00,29710.16,85046.52,69471.15,4714.52,1301.39,39.04,5644.89,19836.82,7086.93,4650.03,2236.53,11396.24,306697.35,297244.35,6779.00,9309.00,1477.00,14611.00,2055.00,29942.00,4306.00,30511.00,2820.00,4935.00,27604.00,241.00,46698.00,114297.00,60245.00,33496.00,56795.00,6057.00,240.00,13202.00,57502.00,54188.00,16088.00,34817.00,32539.00,3891.00,417.00,884.00,623.00,446.00,2724.00,16539.00,33580.00,54517.00,44102.00,97,100,99,108,100,100,100,100,100,100,100,100,100,100,100,100,100,102,101,102,100,100,100,101,100,100
06/2019,100.64,254493.70,2304.00,70075.00,49952.00,11555.00,3692.00,2304.00,172878.00,1806.00,378.00,711.00,28604.00,102269.00,128.16,124.79,46.98,42.29,8033.29,19.67,328827.93,252024.54,48782.87,8181.12,19839.40,8282.73,10580.26,31298.85,149370.31,64689.53,5286.27,1322.64,42.73,5240.14,19139.16,6644.08,4486.58,2157.08,10279.67,302387.20,293386.06,4599.00,6973.00,1451.00,10121.00,1998.00,24581.00,7077.00,22970.00,3468.00,5753.00,18558.00,241.00,46869.00,114228.00,58664.00,33606.00,56999.00,5989.00,240.00,13263.00,57229.00,52675.00,11572.00,30047.00,24311.00,9757.00,776.00,846.00,806.00,328.00,3012.00,15109.00,35409.00,50639.00,40335.00,98,101,100,107,99,100,100,100,100,100,100,100,100,100,100,100,100,100,102,100,100,100,100,100,100,100
07/2019,100.28,242748.06,1440.00,64824.00,44139.00,11324.00,3703.00,1440.00,170847.00,1808.00,366.00,848.00,28265.00,105098.00,111.49,116.74,43.44,57.48,9244.14,22.31,217894.01,123670.02,48816.42,9377.94,36029.64,23352.69,12342.00,25720.51,27033.02,64366.85,5213.36,1284.13,41.66,5654.07,18919.04,6508.89,4684.68,2099.79,10228.03,192934.71,184560.75,3975.00,5597.00,1333.00,8239.00,1907.00,19978.00,5012.00,19299.00,2426.00,6168.00,18071.00,241.00,46923.00,114702.00,55634.00,33678.00,56904.00,5876.00,240.00,13245.00,57798.00,49758.00,9572.00,24311.00,24236.00,5801.00,724.00,785.00,605.00,272.00,2497.00,16299.00,32794.00,48250.00,38888.00,99,101,101,106,100,100,100,100,100,100,100,100,100,99,99,100,99,100,102,100,100,100,100,100,100,100
08/2019,100.34,229868.89,2572.00,65571.00,44683.00,10390.00,3665.00,2572.00,166361.00,1668.00,425.00,828.00,30108.00,99784.00,113.08,125.42,55.13,49.60,8571.34,23.57,249293.83,179680.55,46719.84,8707.98,14185.46,8379.57,5486.23,23049.40,81484.93,65378.62,5140.38,1323.78,37.42,5944.76,17124.99,6422.74,4730.25,2093.52,9648.17,221548.32,212198.80,3821.00,4858.00,1076.00,7603.00,1734.00,26340.00,6200.00,24310.00,2436.00,5716.00,22472.00,241.00,46781.00,115749.00,52385.00,33657.00,57231.00,5804.00,240.00,13124.00,58518.00,46581.00,8679.00,30510.00,28188.00,3108.00,845.00,937.00,677.00,191.00,2345.00,15537.00,33036.00,47802.00,38177.00,102,101,101,101,100,100,100,100,100,100,100,100,100,99,100,100,100,100,102,100,100,100,100,100,100,100
09/2019,100.15,191552.25,2558.00,68097.00,45516.00,10840.00,4558.00,2558.00,169474.00,1545.00,391.00,823.00,28719.00,100458.00,140.18,112.73,42.09,40.81,8555.87,9.81,298383.41,234209.72,46339.94,8705.86,9127.89,6886.59,1996.00,23351.09,140532.27,63247.53,5517.90,1393.03,37.18,4906.33,18028.38,6397.67,4864.10,1861.31,9584.20,269284.28,232480.24,2610.00,2971.00,889.00,4692.00,1357.00,14110.00,3613.00,14001.00,2147.00,4431.00,14319.00,241.00,47016.00,119464.00,49115.00,33773.00,59005.00,5716.00,240.00,13243.00,60459.00,43399.00,5581.00,17614.00,18750.00,3084.00,821.00,887.00,764.00,197.00,2559.00,14481.00,33277.00,42918.00,34139.00,104,100,102,100,100,100,100,100,100,100,100,100,100,101,100,100,100,100,102,100,100,100,100,100,100,100
10/2019,100.24,168465.92,2599.00,60807.00,39179.00,11913.00,3429.00,2599.00,152787.00,1570.00,306.00,705.00,21117.00,91113.00,139.05,112.41,43.04,92.72,8547.36,14.63,271357.92,122014.86,59711.01,8701.04,80931.01,16749.84,63641.59,24085.07,26077.32,65610.12,4781.37,1394.57,37.99,4727.92,29484.74,6060.93,6051.40,1893.98,10684.94,241068.13,241068.13,3010.00,3573.00,1331.00,5252.00,1157.00,15281.00,4525.00,13826.00,1913.00,5012.00,11973.00,241.00,47117.00,119779.00,49941.00,33975.00,58885.00,5615.00,240.00,13142.00,60894.00,44326.00,6583.00,18351.00,16985.00,3323.00,611.00,936.00,609.00,230.00,2270.00,16601.00,30327.00,46794.00,37267.00,104,99,102,100,100,101,100,100,100,100,100,100,100,100,100,100,101,99,102,99,100,100,100,100,100,100
11/2019,100.09,140313.34,2380.00,60077.00,38802.00,11315.00,4025.00,2380.00,154088.00,1504.00,292.00,738.00,27843.00,93295.00,137.27,119.53,42.43,101.96,8556.44,10.33,197059.11,130414.31,47682.77,8704.03,10258.00,5052.93,4279.90,22477.66,35123.57,65676.50,5086.69,1303.99,33.61,4436.10,16644.19,7447.72,6362.93,2142.95,9792.17,172916.74,172916.74,3577.00,4201.00,1186.00,6592.00,1403.00,17017.00,3655.00,17569.00,2804.00,4243.00,14581.00,241.00,47450.00,120701.00,49038.00,34220.00,59263.00,5551.00,240.00,13230.00,61438.00,43487.00,7778.00,21224.00,18824.00,2772.00,902.00,651.00,708.00,211.00,2504.00,15000.00,29646.00,49653.00,39885.00,105,99,101,97,100,102,100,100,100,100,100,100,100,100,100,100,100,99,102,99,100,100,100,100,100,100
12/2019,99.96,114144.67,1483.00,51379.00,35270.00,9105.00,3044.00,1722.00,134208.00,1350.00,230.00,613.00,23388.00,82225.00,156.81,125.81,34.23,162.51,8541.98,22.55,218490.10,140844.62,50272.36,8721.35,18651.78,9461.63,4465.23,23845.46,42004.56,66851.50,6149.85,1748.81,32.02,5759.33,16945.31,8918.73,6202.60,2118.52,9408.07,193979.32,193979.32,3496.00,4331.00,1028.00,6799.00,1427.00,18271.00,3804.00,18175.00,2281.00,4169.00,14252.00,241.00,47295.00,121710.00,47715.00,34042.00,59671.00,5440.00,240.00,13253.00,62039.00,42275.00,7827.00,21979.00,18421.00,3510.00,860.00,665.00,723.00,224.00,2474.00,16736.00,32766.00,56519.00,44916.00,104,100,101,96,100,101,100,100,100,100,100,100,100,100,101,100,101,100,102,99,100,100,100,100,100,100
